layout_number,scenario_number,season_number,seasonal_match,historical_match,big_fire,small_fire,fast_fire,slow_fire
0004,00225,2.0,False,False,True,False,False,True
0004,00640,2.0,False,False,True,False,False,True
0004,00591,2.0,False,False,True,False,False,True
0004,00993,2.0,False,False,True,False,False,True
0004,00732,2.0,False,False,True,False,False,True
0004,00304,2.0,False,False,True,False,False,True
0004,00590,2.0,False,False,True,False,False,True
0004,00584,2.0,False,False,True,False,False,True
0004,00583,2.0,False,False,True,False,False,True
0004,00945,2.0,False,False,True,False,True,False
0004,00582,2.0,False,False,True,False,False,True
0004,00296,2.0,False,False,True,False,False,True
0004,00652,2.0,False,False,True,False,False,True
0004,00644,2.0,False,False,True,False,False,True
0004,00592,2.0,False,False,True,False,False,True
0004,00205,2.0,False,False,True,False,False,True
0004,01174,2.0,False,False,True,False,False,True
0058,01359,,False,False,True,False,False,True
0058,00088,,False,False,True,False,False,True
0058,01961,,False,False,True,False,False,True
0058,00017,,False,False,True,False,False,True
0058,00213,,False,False,True,False,False,True
0058,02312,,False,False,True,False,False,True
0058,01960,,False,False,True,False,False,True
0058,03062,,False,False,True,False,False,True
0058,03091,,False,False,True,False,False,True
0058,00018,,False,False,True,False,False,True
0058,02313,,False,False,True,False,False,True
0058,02914,,False,False,True,False,False,True
0058,02913,,False,False,True,False,False,True
0058,03712,,False,False,True,False,False,True
0058,01841,,False,False,True,False,False,True
0058,01246,,False,False,True,False,False,True
0058,03542,,False,False,True,False,False,True
0058,01020,,False,False,True,False,False,True
0058,02007,,False,False,True,False,False,True
0058,00554,,False,False,True,False,False,True
0058,02832,,False,False,True,False,False,True
0058,00553,,False,False,True,False,False,True
0058,02452,,False,False,True,False,False,True
0058,02009,,False,False,True,False,False,True
0058,01840,,False,False,True,False,False,True
0058,03714,,False,False,True,False,False,True
0058,03713,,False,False,True,False,False,True
0058,01222,,False,False,True,False,False,True
0058,03544,,False,False,True,False,False,True
0058,01019,,False,False,True,False,False,True
0058,03308,,False,False,True,False,False,True
0058,02681,,False,False,True,False,False,True
0058,01838,,False,False,True,False,False,True
0058,00122,,False,False,True,False,False,True
0058,01467,,False,False,True,False,False,True
0058,01469,,False,False,True,False,False,True
0058,02471,,False,False,True,False,False,True
0058,02015,,False,False,True,False,False,True
0058,02046,,False,False,True,False,False,True
0058,02070,,False,False,True,False,False,True
0058,01601,,False,False,True,False,False,True
0058,02470,,False,False,True,False,False,True
0058,02014,,False,False,True,False,False,True
0058,03132,,False,False,True,False,False,True
0058,01837,,False,False,True,False,False,True
0058,03307,,False,False,True,False,False,True
0058,00576,,False,False,True,False,False,True
0058,00578,,False,False,True,False,False,True
0058,03309,,False,False,True,False,False,True
0058,02680,,False,False,True,False,False,True
0058,01839,,False,False,True,False,False,True
0058,00345,,False,False,True,False,False,True
0058,02071,,False,False,True,False,False,True
0058,03226,,False,False,True,False,False,True
0058,03448,,False,False,True,False,False,True
0058,03228,,False,False,True,False,False,True
0058,03446,,False,False,True,False,False,True
0058,03076,,False,False,True,False,False,True
0058,01973,,False,False,True,False,False,True
0058,02962,,False,False,True,False,False,True
0058,00652,,False,False,True,False,False,True
0058,02595,,False,False,True,False,False,True
0058,02963,,False,False,True,False,False,True
0058,01972,,False,False,True,False,False,True
0058,03077,,False,False,True,False,False,True
0058,02327,,False,False,True,False,False,True
0058,00219,,False,False,True,False,False,True
0058,02549,,False,False,True,False,False,True
0058,00687,,False,False,True,False,False,True
0058,02547,,False,False,True,False,False,True
0058,02974,,False,False,True,False,False,True
0058,02973,,False,False,True,False,False,True
0058,00627,,False,False,True,False,False,True
0058,00686,,False,False,True,False,False,True
0058,00220,,False,False,True,False,False,True
0058,00628,,False,False,True,False,False,True
0058,02838,,False,False,True,False,False,True
0058,02467,,False,False,True,False,False,True
0058,01220,,False,False,True,False,False,True
0058,02831,,False,False,True,False,False,True
0058,02469,,False,False,True,False,False,True
0058,01842,,False,False,True,False,False,True
0058,01619,,False,False,True,False,False,True
0058,01245,,False,False,True,False,False,True
0058,02830,,False,False,True,False,False,True
0058,02468,,False,False,True,False,False,True
0058,02466,,False,False,True,False,False,True
0058,00349,,False,False,True,False,False,True
0058,02848,,False,False,True,False,False,True
0058,00347,,False,False,True,False,False,True
0058,01602,,False,False,True,False,False,True
0058,00121,,False,False,True,False,False,True
0058,03130,,False,False,True,False,False,True
0058,02472,,False,False,True,False,False,True
0058,01603,,False,False,True,False,False,True
0058,02849,,False,False,True,False,False,True
0058,02474,,False,False,True,False,False,True
0058,03131,,False,False,True,False,False,True
0058,01145,,False,False,True,False,False,True
0058,02136,,False,False,True,False,False,True
0058,00453,,False,False,True,False,False,True
0058,00454,,False,False,True,False,False,True
0058,02138,,False,False,True,False,False,True
0058,02107,,False,False,True,False,False,True
0058,00650,,False,False,True,False,False,True
0058,02332,,False,False,True,False,False,True
0058,01144,,False,False,True,False,False,True
0058,01971,,False,False,True,False,False,True
0058,02333,,False,False,True,False,False,True
0058,02106,,False,False,True,False,False,True
0058,00651,,False,False,True,False,False,True
0058,02334,,False,False,True,False,False,True
0058,02596,,False,False,True,False,False,True
0250,01845,,False,False,True,False,False,True
0250,02639,,False,False,True,False,False,True
0250,00151,,False,False,True,False,False,True
0250,02056,,False,False,True,False,False,True
0250,02638,,False,False,True,False,False,True
0250,01843,,False,False,True,False,False,True
0250,02316,,False,False,True,False,False,True
0250,02540,,False,False,True,False,False,True
0250,02541,,False,False,True,False,False,True
0250,00621,,False,False,True,False,False,True
0250,01510,,False,False,True,False,False,True
0250,02734,,False,False,True,False,False,True
0250,00894,,False,False,True,False,False,True
0250,02733,,False,False,True,False,False,True
0250,00893,,False,False,True,False,False,True
0250,02536,,False,False,True,False,False,True
0250,02640,,False,False,True,False,False,True
0250,00370,,False,False,True,False,False,True
0250,02225,,False,False,True,False,False,True
0250,02439,,False,False,True,False,False,True
0250,02857,,False,False,True,False,False,True
0250,00152,,False,False,True,False,False,True
0250,01020,,False,False,True,False,False,True
0250,01018,,False,False,True,False,False,True
0250,02856,,False,False,True,False,False,True
0250,02438,,False,False,True,False,False,True
0250,00368,,False,False,True,False,False,True
0250,02315,,False,False,True,False,False,True
0250,00069,,False,False,True,False,False,True
0250,02534,,False,False,True,False,False,True
0250,00067,,False,False,True,False,False,True
0250,02440,,False,False,True,False,False,True
0250,00919,,False,False,True,False,False,True
0250,00921,,False,False,True,False,False,True
0250,02227,,False,False,True,False,False,True
0250,00711,,False,False,True,False,False,True
0250,00710,,False,False,True,False,False,True
0111,02481,,False,False,True,False,False,True
0111,01031,,False,False,True,False,False,True
0111,02640,,False,False,True,False,False,True
0111,01235,,False,False,True,False,False,True
0111,00340,,False,False,False,True,False,True
0111,02870,,False,False,True,False,False,True
0111,02410,,False,False,True,False,False,True
0111,01098,,False,False,True,False,False,True
0111,02877,,False,False,False,True,False,True
0111,02270,,False,False,True,False,False,True
0111,01233,,False,False,True,False,False,True
0111,02641,,False,False,True,False,False,True
0111,01030,,False,False,True,False,False,True
0111,02480,,False,False,True,False,False,True
0111,02878,,False,False,True,False,False,True
0111,01099,,False,False,True,False,False,True
0111,00341,,False,False,False,True,False,True
0111,02885,,False,False,True,False,False,True
0111,02871,,False,False,True,False,False,True
0111,00802,,False,False,True,False,False,True
0111,01127,,False,False,True,False,False,True
0111,02506,,False,False,True,False,False,True
0111,01946,,False,False,True,False,False,True
0111,01526,,False,False,True,False,False,True
0111,02992,,False,False,True,False,False,True
0111,03088,,False,False,True,False,False,True
0111,01722,,False,False,True,False,False,True
0111,00803,,False,False,True,False,False,True
0111,01126,,False,False,True,False,False,True
0111,01724,,False,False,True,False,False,True
0111,01712,,False,False,True,False,False,True
0111,03277,,False,False,True,False,False,True
0111,01730,,False,False,True,False,False,True
0111,02183,,False,False,True,False,False,True
0111,00412,,False,False,True,False,False,True
0111,03297,,False,False,True,False,False,True
0111,01309,,False,False,True,False,False,True
0111,02540,,False,False,True,False,False,True
0111,01755,,False,False,True,False,False,True
0111,00013,,False,False,True,False,False,True
0111,00014,,False,False,True,False,False,True
0111,00413,,False,False,False,True,False,True
0111,02972,,False,False,True,False,False,True
0111,03298,,False,False,True,False,False,True
0111,00471,,False,False,True,False,False,True
0111,00829,,False,False,False,True,False,True
0111,00015,,False,False,True,False,False,True
0111,01308,,False,False,True,False,False,True
0111,02296,,False,False,False,True,False,True
0111,03182,,False,False,True,False,False,True
0111,01619,,False,False,False,True,False,True
0111,03343,,False,False,True,False,False,True
0111,02059,,False,False,True,False,False,True
0111,01617,,False,False,False,True,False,True
0111,01041,,False,False,False,True,False,True
0111,02664,,False,False,True,False,False,True
0111,00765,,False,False,False,True,False,True
0111,02663,,False,False,True,False,False,True
0111,02467,,False,False,True,False,False,True
0111,02058,,False,False,True,False,False,True
0111,01286,,False,False,True,False,False,True
0111,03342,,False,False,True,False,False,True
0111,03184,,False,False,True,False,False,True
0111,02466,,False,False,True,False,False,True
0111,03112,,False,False,True,False,False,True
0111,02662,,False,False,True,False,False,True
0111,00909,,False,False,True,False,False,True
