layout_id,scenario_id,historical_match_pct,big_fire,small_fire,fast_fire,slow_fire,per_layout_n,in_config_s2r,in_scenario_summary
0016,00001,100.0,True,False,False,True,249,True,True
0016,00005,100.0,True,False,False,True,249,True,True
0016,00006,100.0,True,False,False,True,249,True,True
0016,00007,100.0,True,False,False,True,249,True,True
0016,00023,100.0,True,False,False,True,249,True,True
0016,00025,100.0,True,False,False,True,249,True,True
0016,00052,100.0,True,False,False,True,249,True,True
0016,00053,100.0,True,False,False,True,249,True,True
0016,00076,100.0,False,True,True,False,249,True,True
0016,00077,100.0,True,False,False,True,249,True,True
0016,00078,100.0,True,False,False,True,249,True,True
0016,00099,100.0,False,True,False,True,249,True,True
0016,00148,100.0,True,False,False,True,249,True,True
0016,00169,100.0,True,False,False,True,249,True,True
0016,00197,100.0,True,False,False,True,249,True,True
0016,00198,100.0,False,True,True,False,249,True,True
0016,00199,100.0,True,False,False,True,249,True,True
0016,00256,100.0,True,False,False,True,249,True,True
0016,00257,100.0,True,False,True,False,249,True,True
0016,00293,100.0,True,False,False,True,249,True,True
0016,00430,100.0,True,False,False,True,249,True,True
0016,00431,100.0,True,False,False,True,249,True,True
0016,00441,100.0,True,False,False,True,249,True,True
0016,00465,100.0,True,False,False,True,249,True,True
0016,00467,100.0,True,False,False,True,249,True,True
0016,00468,100.0,True,False,False,True,249,True,True
0016,00470,100.0,True,False,False,True,249,True,True
0016,00471,100.0,True,False,False,True,249,True,True
0016,00472,100.0,True,False,False,True,249,True,True
0016,00487,100.0,True,False,False,True,249,True,True
0016,00490,100.0,True,False,False,True,249,True,True
0016,00491,100.0,True,False,False,True,249,True,True
0016,00513,100.0,True,False,False,True,249,True,True
0016,00515,100.0,True,False,False,True,249,True,True
0016,00520,100.0,True,False,False,True,249,True,True
0016,00543,100.0,True,False,False,True,249,True,True
0016,00544,100.0,True,False,False,True,249,True,True
0016,00548,100.0,True,False,False,True,249,True,True
0016,00551,100.0,True,False,False,True,249,True,True
0016,00586,100.0,True,False,False,True,249,True,True
0016,00588,100.0,True,False,False,True,249,True,True
0016,00592,100.0,True,False,False,True,249,True,True
0016,00688,100.0,True,False,False,True,249,True,True
0016,00698,100.0,True,False,False,True,249,True,True
0016,00713,100.0,True,False,False,True,249,True,True
0016,00714,100.0,True,False,False,True,249,True,True
0016,00715,100.0,True,False,False,True,249,True,True
0016,00723,100.0,True,False,False,True,249,True,True
0016,00724,100.0,True,False,False,True,249,True,True
0016,00731,100.0,False,True,False,True,249,True,True
0016,00732,100.0,False,True,False,True,249,True,True
0016,00823,100.0,True,False,False,True,249,True,True
0016,00824,100.0,False,True,False,True,249,True,True
0016,00838,100.0,True,False,False,True,249,True,True
0016,00839,100.0,False,True,True,False,249,True,True
0016,00840,100.0,False,True,False,True,249,True,True
0016,00843,100.0,False,True,True,False,249,True,True
0016,00844,100.0,False,True,True,False,249,True,True
0016,00849,100.0,True,False,False,True,249,True,True
0016,00850,100.0,True,False,False,True,249,True,True
0016,00896,100.0,True,False,False,True,249,True,True
0016,00897,100.0,True,False,False,True,249,True,True
0016,00905,100.0,True,False,False,True,249,True,True
0016,00909,100.0,True,False,False,True,249,True,True
0016,00910,100.0,True,False,False,True,249,True,True
0016,00913,100.0,True,False,False,True,249,True,True
0016,00914,100.0,True,False,False,True,249,True,True
0016,01002,100.0,False,True,False,True,249,True,True
0016,01012,100.0,True,False,False,True,249,True,True
0016,01013,100.0,True,False,False,True,249,True,True
0016,01017,100.0,False,True,False,True,249,True,True
0016,01018,100.0,True,False,False,True,249,True,True
0016,01054,100.0,True,False,False,True,249,True,True
0016,01076,100.0,True,False,False,True,249,True,True
0016,01077,100.0,True,False,False,True,249,True,True
0016,01150,100.0,True,False,False,True,249,True,True
0016,01184,100.0,True,False,False,True,249,True,True
0016,01186,100.0,True,False,False,True,249,True,True
0016,01194,100.0,True,False,False,True,249,True,True
0016,01209,100.0,True,False,False,True,249,True,True
0016,01210,100.0,True,False,False,True,249,True,True
0016,01221,100.0,True,False,False,True,249,True,True
0016,01222,100.0,True,False,False,True,249,True,True
0016,01228,100.0,True,False,False,True,249,True,True
0016,01230,100.0,True,False,False,True,249,True,True
0016,01253,100.0,True,False,False,True,249,True,True
0016,01254,100.0,True,False,False,True,249,True,True
0016,01255,100.0,True,False,True,False,249,True,True
0016,01256,100.0,True,False,False,True,249,True,True
0016,01283,100.0,True,False,False,True,249,True,True
0016,01284,100.0,True,False,False,True,249,True,True
0016,01285,100.0,True,False,False,True,249,True,True
0016,01288,100.0,True,False,False,True,249,True,True
0016,01289,100.0,True,False,False,True,249,True,True
0016,01290,100.0,True,False,False,True,249,True,True
0016,01310,100.0,True,False,False,True,249,True,True
0016,01350,100.0,True,False,False,True,249,True,True
0016,01352,100.0,True,False,False,True,249,True,True
0016,01362,100.0,True,False,False,True,249,True,True
0016,01365,100.0,True,False,False,True,249,True,True
0016,01366,100.0,True,False,False,True,249,True,True
0016,01367,100.0,True,False,False,True,249,True,True
0016,01384,100.0,True,False,False,True,249,True,True
0016,01398,100.0,,,,,249,False,False
0016,01409,100.0,True,False,False,True,249,True,True
0016,01438,100.0,True,False,False,True,249,True,True
0016,01464,100.0,True,False,False,True,249,True,True
0016,01465,100.0,True,False,False,True,249,True,True
0016,01473,100.0,True,False,False,True,249,True,True
0016,01475,100.0,True,False,False,True,249,True,True
0016,01487,100.0,True,False,False,True,249,True,True
0016,01497,100.0,True,False,False,True,249,True,True
0016,01501,100.0,True,False,False,True,249,True,True
0016,01512,100.0,True,False,False,True,249,True,True
0016,01513,100.0,True,False,False,True,249,True,True
0016,01532,100.0,True,False,False,True,249,True,True
0016,01533,100.0,True,False,False,True,249,True,True
0016,01534,100.0,True,False,False,True,249,True,True
0016,01540,100.0,True,False,False,True,249,True,True
0016,01541,100.0,True,False,False,True,249,True,True
0016,01542,100.0,True,False,False,True,249,True,True
0016,01547,100.0,True,False,False,True,249,True,True
0016,01548,100.0,True,False,False,True,249,True,True
0016,01561,100.0,True,False,False,True,249,True,True
0016,01562,100.0,True,False,False,True,249,True,True
0016,01583,100.0,True,False,False,True,249,True,True
0016,01590,100.0,True,False,False,True,249,True,True
0016,01591,100.0,True,False,False,True,249,True,True
0016,01593,100.0,True,False,False,True,249,True,True
0016,01618,100.0,True,False,False,True,249,True,True
0016,01635,100.0,True,False,False,True,249,True,True
0016,01636,100.0,True,False,False,True,249,True,True
0016,01637,100.0,True,False,False,True,249,True,True
0016,01665,100.0,True,False,False,True,249,True,True
0016,01667,100.0,True,False,False,True,249,True,True
0016,01673,100.0,True,False,False,True,249,True,True
0016,01675,100.0,True,False,False,True,249,True,True
0016,01676,100.0,True,False,False,True,249,True,True
0016,01737,100.0,True,False,False,True,249,True,True
0016,01738,100.0,True,False,False,True,249,True,True
0016,01739,100.0,True,False,False,True,249,True,True
0016,01740,100.0,True,False,False,True,249,True,True
0016,01743,100.0,True,False,False,True,249,True,True
0016,01789,100.0,True,False,False,True,249,True,True
0016,01790,100.0,True,False,False,True,249,True,True
0016,01792,100.0,True,False,False,True,249,True,True
0016,01827,100.0,True,False,False,True,249,True,True
0016,01829,100.0,True,False,False,True,249,True,True
0016,01830,100.0,True,False,False,True,249,True,True
0016,01831,100.0,True,False,False,True,249,True,True
0016,01832,100.0,True,False,False,True,249,True,True
0016,01833,100.0,True,False,False,True,249,True,True
0016,01834,100.0,True,False,False,True,249,True,True
0016,01835,100.0,True,False,False,True,249,True,True
0016,01836,100.0,True,False,False,True,249,True,True
0016,01838,100.0,True,False,False,True,249,True,True
0016,01862,100.0,True,False,False,True,249,True,True
0016,01863,100.0,True,False,False,True,249,True,True
0016,01877,100.0,True,False,False,True,249,True,True
0016,01931,100.0,True,False,False,True,249,True,True
0016,01936,100.0,True,False,False,True,249,True,True
0016,01937,100.0,True,False,False,True,249,True,True
0016,01938,100.0,True,False,False,True,249,True,True
0016,01962,100.0,True,False,False,True,249,True,True
0016,01969,100.0,True,False,False,True,249,True,True
0016,01971,100.0,True,False,False,True,249,True,True
0016,01983,100.0,True,False,False,True,249,True,True
0016,02018,100.0,True,False,False,True,249,True,True
0016,02034,100.0,True,False,False,True,249,True,True
0016,02050,100.0,True,False,False,True,249,True,True
0016,02051,100.0,True,False,False,True,249,True,True
0016,02079,100.0,True,False,False,True,249,True,True
0016,02080,100.0,True,False,False,True,249,True,True
0016,02081,100.0,True,False,False,True,249,True,True
0016,02083,100.0,True,False,False,True,249,True,True
0016,02084,100.0,True,False,False,True,249,True,True
0016,02086,100.0,True,False,False,True,249,True,True
0016,02148,100.0,True,False,False,True,249,True,True
0016,02149,100.0,True,False,False,True,249,True,True
0016,02152,100.0,False,True,False,True,249,True,True
0016,02181,100.0,True,False,False,True,249,True,True
0016,02182,100.0,True,False,False,True,249,True,True
0016,02192,100.0,True,False,False,True,249,True,True
0016,02243,100.0,True,False,False,True,249,True,True
0016,02245,100.0,True,False,False,True,249,True,True
0016,02279,100.0,True,False,False,True,249,True,True
0016,02280,100.0,False,True,False,True,249,True,True
0016,02283,100.0,True,False,False,True,249,True,True
0016,02293,100.0,True,False,False,True,249,True,True
0016,02302,100.0,True,False,False,True,249,True,True
0016,02303,100.0,True,False,False,True,249,True,True
